Datetime(yyyy-MM-dd HH:mm:ss);GPS Speed;GPS Distance;Minutes on GPS;Speed Sensor;Voltage;Current;Watt;Cadence;PAS;Motor;Assist
2018-10-09 08:32:35;0;0;0;14,8;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:36;0;0;0;14,0;40,7;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:37;0;0;0;13,6;41,0;0,0;0,0;0;no;no;Assist FFA 40;
2018-10-09 08:32:38;0;0;0;13,1;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:39;0;0;0;12,2;41,0;0,0;0,0;40;yes;no;Assist 4th;
2018-10-09 08:32:40;0;0;0;13,9;38,3;20,2;773,2;86;yes;yes;Assist 4th;
2018-10-09 08:32:41;0;0;0;18,1;39,0;14,2;553,3;102;yes;yes;Assist 4th;
2018-10-09 08:32:42;0;0;0;20,1;39,3;10,6;416,7;100;yes;yes;Assist 4th;
2018-10-09 08:32:43;0;0;0;19,9;41,0;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:44;0;0;0;19,2;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:45;0;0;0;17,1;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:46;0;0;0;12,6;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:47;0;0;0;11,0;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:48;0;0;0;10,4;40,0;8,0;320,0;52;yes;yes;Assist 4th;
2018-10-09 08:32:49;0;0;0;12,3;38,6;18,6;718,3;68;yes;yes;Assist 4th;
2018-10-09 08:32:50;0;0;0;15,5;38,6;16,6;641,1;84;yes;yes;Assist 4th;
2018-10-09 08:32:51;0;0;0;20,4;39,7;8,4;333,1;100;yes;yes;Assist 4th;
2018-10-09 08:32:52;0;0;0;21,6;40,0;4,6;184,0;52;yes;yes;Assist 4th;
2018-10-09 08:32:53;0;0;0;21,0;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:54;0;0;0;20,1;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:55;0;0;0;19,6;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:56;0;0;0;18,8;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:57;0;0;0;18,2;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:57;0;0;0;17,3;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:58;0;0;0;16,9;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:32:59;0;0;0;16,3;41,0;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:00;0;0;0;15,8;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:01;0;0;0;15,3;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:02;0;0;0;15,0;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:03;0;0;0;14,4;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:04;0;0;0;14,1;40,7;0,0;0,0;0;no;no;Assist 4th;
2018-10-09 08:33:05;0;0;0;13,5;40,7;0,0;0,0;0;no;no;Assist 4th;
